LSTM,CNN_LSTM,REAL_VALUE
724.29047,721.06586,729.9
724.10956,720.989,729.95
724.1267,721.0133,729.05
723.69653,720.3719,730.0
723.7908,720.8522,732.4
725.28955,722.7856,732.15
726.15295,723.16345,733.65
726.8382,724.2099,733.6
727.61664,724.458,736.6
729.1563,726.4727,736.15
730.014,726.7829,734.95
729.4285,725.9905,736.0
729.54175,726.3965,735.7
729.83295,726.37646,735.75
729.5592,726.4095,735.45
729.35706,726.2111,735.0
729.21954,725.84955,733.55
728.37177,724.8058,734.15
728.0211,724.8839,734.85
728.5424,725.425,734.1
728.442,725.1041,733.5
727.86224,724.57886,733.6
727.8102,724.4849,732.95
727.5648,724.05524,733.8
727.5327,724.5044,733.55
727.69214,724.4904,733.35
727.57874,724.33685,732.95
727.2836,724.0134,732.5
726.95215,723.6136,733.2
727.05585,723.9845,735.9
728.4612,725.89484,736.95
729.9966,727.1691,733.95
729.2103,725.4818,733.5
728.0928,724.5698,733.45
727.966,724.3385,732.65
727.2998,723.80786,731.55
726.09204,722.91046,732.0
725.91296,722.94586,730.0
725.22516,721.5746,730.35
724.4915,721.3943,730.55
724.67017,721.5548,731.35
725.2227,722.1999,731.35
725.4427,722.3956,731.6
725.6576,722.5943,731.15
725.676,722.3258,731.9
725.8297,722.765,731.85
725.99615,722.87805,731.9
725.9853,722.9321,732.9
726.4345,723.62854,733.0
726.9029,723.9047,733.15
727.04663,724.0625,733.8
727.447,724.5262,733.5
727.65686,724.4641,734.2
727.86786,724.8882,733.85
727.9679,724.7878,732.9
727.4588,724.1065,732.0
726.6404,723.27185,730.55
725.58057,722.01044,730.35
724.8052,721.5061,729.9
724.34766,721.0896,729.45
723.8983,720.6539,730.7
724.2798,721.47437,730.2
724.60364,721.36725,731.0
724.8597,721.8919,730.7
725.07214,721.82776,731.5
725.43176,722.36786,731.1
725.4854,722.248,731.65
725.5678,722.57886,730.75
725.33203,722.0415,729.45
724.3691,720.89124,730.45
724.231,721.29614,730.7
724.67236,721.6674,731.0
724.8492,721.9967,731.65
725.27985,722.53204,732.4
726.09216,723.20435,733.4
726.9353,724.0678,734.0
